T_UPDATE,CALLSIGN,OPERATOR,TYPE_OF_TRANSPONDER,T0,ICAO_ACTYPE,ADEP,DEST,TAS,RFL
26-8-2019 04:20:07,TFL58H,TFL,S,26-8-2019 00:05:01,A320,EHAM,LGKO,449,370.0
26-8-2019 04:35:06,TFL23M,TFL,H,26-8-2019 00:05:01,A320,EHAM,LGZA,449,330.0
26-8-2019 04:20:07,TRA1679,TRA,L,26-8-2019 00:05:01,B738,EHAM,LGKR,447,370.0
26-8-2019 04:20:07,DAL256,DAL,L,26-8-2019 00:06:43,A333,KBOS,EHAM,470,380.0
26-8-2019 04:35:06,CSN345,CSN,L,26-8-2019 00:12:01,A388,ZBAA,EHAM,480,302.0
26-8-2019 04:20:07,TRA9Z,TRA,L,26-8-2019 00:15:01,B738,EHAM,LGIR,443,390.0
26-8-2019 04:35:07,DAL132,DAL,L,26-8-2019 00:16:05,A359,KDTW,EHAM,470,410.0
26-8-2019 04:20:07,KLM810,KLM,L,26-8-2019 00:19:00,B772,WMKK,EHAM,480,280.0
26-8-2019 04:20:07,KLM656,KLM,L,26-8-2019 00:21:15,A333,KMSP,EHAM,470,350.0
26-8-2019 05:35:08,DAL70,DAL,L,26-8-2019 00:21:27,A333,KATL,EHAM,470,370.0
26-8-2019 04:20:07,EWG6BR,EWG,H,26-8-2019 00:21:46,A333,KEWR,EDDL,461,390.0
26-8-2019 04:20:07,DAL46,DAL,L,26-8-2019 00:25:33,B763,KJFK,EHAM,460,370.0
26-8-2019 04:50:06,TRA44H,TRA,L,26-8-2019 00:30:00,B738,EHAM,LGSA,445,390.0
26-8-2019 04:50:06,CXA811,CXA,L,26-8-2019 00:32:00,B789,ZSAM,EHAM,480,400.0
26-8-2019 04:50:06,TRA35U,TRA,L,26-8-2019 00:35:00,B738,EHAM,LIEO,446,370.0
26-8-2019 05:35:07,KLM452,KLM,L,26-8-2019 00:37:57,A332,OMAA,EHAM,477,360.0
26-8-2019 04:50:06,TRA5723,TRA,L,26-8-2019 00:40:01,B738,EHAM,LGIR,456,390.0
26-8-2019 04:50:07,CSN453,CSN,L,26-8-2019 00:40:01,B77L,ZSPD,EHAM,482,276.0
26-8-2019 06:20:05,KLM86,KLM,L,26-8-2019 00:41:29,B772,CYYZ,EHAM,485,350.0
26-8-2019 05:05:06,CES771,CES,L,26-8-2019 00:44:46,A359,ZSPD,EHAM,493,322.0
26-8-2019 04:50:06,TRA6J,TRA,L,26-8-2019 00:45:01,B738,EHAM,LPPR,448,380.0
26-8-2019 05:05:06,KLM590,KLM,L,26-8-2019 00:45:01,B77W,DGAA,EHAM,501,310.0
26-8-2019 01:05:12,ZXP04,ZXP,S,26-8-2019 00:46:16,EC35,EHAM,EHAM,120,0.0
26-8-2019 05:05:06,EWG881,EWG,H,26-8-2019 00:49:01,A320,BIKF,EDDK,479,230.0
26-8-2019 05:05:06,CSN307,CSN,L,26-8-2019 00:52:01,A333,ZGGG,EHAM,468,302.0
26-8-2019 05:20:07,KLM48,KLM,L,26-8-2019 00:52:39,B744,KORD,EHAM,490,390.0
26-8-2019 05:35:07,KKK6725,KKK,S,26-8-2019 00:54:00,A332,LTFM,EHAM,467,340.0
26-8-2019 05:05:06,TRA5517,TRA,L,26-8-2019 01:00:00,B738,EHAM,LCPH,446,370.0
26-8-2019 05:20:06,CND413,CND,L,26-8-2019 01:00:00,B738,EHBK,LGIR,375,170.0
26-8-2019 05:35:07,TRA5695,TRA,L,26-8-2019 01:00:00,B738,EHAM,LGSM,447,370.0
26-8-2019 05:20:07,TRA721,TRA,L,26-8-2019 01:00:00,B738,EHAM,LTBS,444,410.0
26-8-2019 05:05:07,TRA89A,TRA,L,26-8-2019 01:00:00,B738,EHAM,LEBL,446,350.0
26-8-2019 05:20:07,TRA85E,TRA,L,26-8-2019 01:00:00,B738,EHAM,LIBD,433,310.0
26-8-2019 05:20:06,CPA271,CPA,L,26-8-2019 01:00:32,A35K,VHHH,EHAM,482,226.0
26-8-2019 05:20:06,TFL547,TFL,H,26-8-2019 01:05:00,A320,EHAM,GCLP,449,320.0
26-8-2019 05:20:06,TRA6463,TRA,L,26-8-2019 01:05:00,B737,EHAM,LGMK,441,370.0
26-8-2019 05:50:06,UAL70,UAL,L,26-8-2019 01:07:21,B764,KEWR,EHAM,460,310.0
26-8-2019 03:50:06,ZXP04,ZXP,S,26-8-2019 01:08:28,EC35,EHAM,EHAM,120,0.0
26-8-2019 05:05:07,TRA4C,TRA,L,26-8-2019 01:10:01,B738,EHAM,GCLP,445,380.0
26-8-2019 05:35:07,TRA5801,TRA,L,26-8-2019 01:15:01,B738,EHAM,LLBG,448,350.0
26-8-2019 05:20:06,SIA324,SIA,L,26-8-2019 01:15:01,A359,WSSS,EHAM,493,340.0
26-8-2019 05:35:08,KLM567,KLM,L,26-8-2019 01:15:01,B77W,HTDA,EHAM,493,320.0
26-8-2019 05:35:08,TRA116L,TRA,L,26-8-2019 01:15:01,B738,EHAM,LGSM,447,370.0
26-8-2019 16:20:10,KQA116,KQA,L,26-8-2019 01:16:01,B788,HKJK,EHAM,492,360.0
26-8-2019 05:35:07,KLM38D,KLM,H,26-8-2019 01:17:01,E190,EBBR,EHAM,345,140.0
26-8-2019 05:35:08,KLM26M,KLM,L,26-8-2019 01:18:01,E75L,EDDV,EHAM,345,200.0
26-8-2019 06:05:06,UAL946,UAL,L,26-8-2019 01:23:01,B764,KIAD,EHAM,460,310.0
26-8-2019 05:20:07,KLM808,KLM,L,26-8-2019 01:24:24,B77W,RCTP,EHAM,490,240.0
26-8-2019 05:50:06,KLM28K,KLM,L,26-8-2019 01:25:00,B737,EKBI,EHAM,441,260.0
26-8-2019 05:20:07,TFL649,TFL,L,26-8-2019 01:25:00,B738,EHAM,GCTS,448,360.0
26-8-2019 06:05:07,KLM88J,KLM,H,26-8-2019 01:29:00,E190,EDDH,EHAM,363,180.0
26-8-2019 05:35:08,KLM29E,KLM,L,26-8-2019 01:29:21,B772,KIAD,EHAM,485,350.0
26-8-2019 05:50:08,KLM536,KLM,L,26-8-2019 01:30:00,A332,HUEN,EHAM,464,340.0
26-8-2019 05:50:07,TFL69T,TFL,H,26-8-2019 01:30:00,B738,EHAM,LGKP,448,370.0
26-8-2019 05:35:08,TRA75N,TRA,L,26-8-2019 01:30:00,B738,EHAM,LEIB,450,350.0
26-8-2019 06:05:06,SVA933D,SVA,H,26-8-2019 01:30:00,B77L,OEJN,EHAM,507,320.0
26-8-2019 05:50:08,KLM34Z,KLM,L,26-8-2019 01:30:00,E75L,EDDL,EHAM,319,140.0
26-8-2019 05:35:07,KLM174,KLM,L,26-8-2019 01:31:06,B744,HKJK,EHAM,504,360.0
26-8-2019 05:50:07,KLM44R,KLM,L,26-8-2019 01:34:00,B738,EDDT,EHAM,434,260.0
26-8-2019 05:35:07,TFL498,TFL,L,26-8-2019 01:35:00,B738,GMTT,EHRD,457,360.0
26-8-2019 05:50:07,KLM62N,KLM,L,26-8-2019 01:35:00,E75L,EDDW,EHAM,357,220.0
26-8-2019 05:50:07,KLM80Z,KLM,L,26-8-2019 01:35:00,E75L,EDDN,EHAM,414,340.0
26-8-2019 05:35:08,KLM36L,KLM,L,26-8-2019 01:36:00,E75L,ELLX,EHAM,337,220.0
26-8-2019 06:05:06,KLM96F,KLM,L,26-8-2019 01:38:00,B738,EKCH,EHAM,450,380.0
26-8-2019 06:05:07,KLM42A,KLM,H,26-8-2019 01:39:01,E190,EDDS,EHAM,390,240.0
26-8-2019 05:50:07,KLM23P,KLM,L,26-8-2019 01:40:01,B737,EHAM,LFPG,438,210.0
26-8-2019 05:35:08,PNX515,PNX,S,26-8-2019 01:45:01,JS32,EHGG,EKCH,266,150.0
26-8-2019 05:50:07,TRA6887,TRA,L,26-8-2019 01:45:01,B737,EHAM,BIKF,440,380.0
26-8-2019 05:35:08,KLM1721,KLM,H,26-8-2019 01:45:01,E190,EHAM,EBBR,329,150.0
26-8-2019 06:05:07,KLM1392,KLM,L,26-8-2019 01:45:01,B738,ULLI,EHAM,448,380.0
26-8-2019 05:50:07,EWG7180,EWG,H,26-8-2019 01:47:01,A320,EDDH,EHAM,430,300.0
26-8-2019 06:20:07,KLM678,KLM,L,26-8-2019 01:47:36,A333,CYYC,EHAM,498,370.0
26-8-2019 06:35:07,KLM39V,KLM,L,26-8-2019 01:50:01,B738,EHAM,ESSA,450,390.0
26-8-2019 06:05:06,TRA88B,TRA,L,26-8-2019 01:50:01,B738,EHAM,LEAL,446,350.0
26-8-2019 06:05:06,TRA20W,TRA,L,26-8-2019 01:50:01,B738,EHAM,LEMG,444,350.0
26-8-2019 05:50:07,KLM1853,KLM,L,26-8-2019 01:50:01,E75L,EHAM,EDDL,358,210.0
26-8-2019 06:20:06,KLM1839,KLM,L,26-8-2019 01:50:01,B738,EHAM,LOWW,464,350.0
26-8-2019 06:05:06,KLM1351,KLM,H,26-8-2019 01:50:01,E190,EHAM,LKPR,451,410.0
26-8-2019 05:50:08,KLM36M,KLM,L,26-8-2019 01:53:00,B737,LFLL,EHAM,447,400.0
26-8-2019 05:50:07,KLM1350,KLM,L,26-8-2019 01:53:00,B737,LKPR,EHAM,445,380.0
