icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
00AA,,Aero B Ranch Airport,Leoti,Kansas,US,3435,38.70402222,-101.4739111,America/Chicago,00AA
00AK,,Lowell Field,Anchor Point,Alaska,US,252,59.94888889,-151.6922222,America/Anchorage,00AK
00AL,,Epps Airpark,Harvest,Alabama,US,820,34.86481028,-86.7702775,America/Chicago,00AL
00AR,,Arland Airport,Bennington,Kansas,US,1352,38.96965108,-97.60155661,America/Chicago,00AR
00AS,,Fulton Airport,Alex,Oklahoma,US,1100,34.94280278,-97.81801944,America/Chicago,00AS
00CA,,Goldstone /Gts/ Airport,Barstow,California,US,3038,35.35497222,-116.8852083,America/Los_Angeles,00CA
00CL,,Williams Ag Airport,Biggs,California,US,87,39.42718889,-121.7634278,America/Los_Angeles,00CL
00FA,,Grass Patch Airport,Bushnell,Florida,US,53,28.64554722,-82.218975,America/New_York,00FA
00FL,,River Oak Airport,Okeechobee,Florida,US,35,27.23087972,-80.96923056,America/New_York,00FL
00GA,,Lt World Airport,Lithonia,Georgia,US,700,33.7675,-84.06833333,America/New_York,00GA
00ID,,Delta Shores Airport,Clark Fork,Idaho,US,2064,48.14527778,-116.2144444,America/Los_Angeles,00ID
00IG,,Goltl Airport,Mcdonald,Kansas,US,3359,39.72402778,-101.3959944,America/Chicago,00IG
00IL,,Hammer Airport,Polo,Illinois,US,840,41.97836333,-89.56038833,America/Chicago,00IL
00IS,,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,820,40.025595,-89.12286472,America/Chicago,00IS
00KS,,Hayden Farm Airport,Gardner,Kansas,US,1100,38.72778667,-94.93051972,America/Chicago,00KS
00KY,,Robbins Roost Airport,Stanford,Kentucky,US,1265,37.40944444,-84.61972222,America/New_York,00KY
00LS,,Lejeune Airport,Esterwood,Louisiana,US,12,30.13627778,-92.42936111,America/Chicago,00LS
00MD,,Slater Field,Federalsburg,Maryland,US,45,38.75705778,-75.75382083,America/New_York,00MD
00MN,,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,1365,46.29996028,-95.70032417,America/Chicago,00MN
00NC,,North Raleigh Airport,Louisburg,North Carolina,US,348,36.08515028,-78.37138556,America/New_York,00NC
00NY,,Weiss Airfield,West Bloomfield,New York,US,1000,42.89586111,-77.49516111,America/New_York,00NY
00OK,,Gull Bay Landing Airport,Sandsprings,Oklahoma,US,960,36.198918,-96.217682,America/Chicago,00OK
00PN,,Ferrell Field,Mercer,Pennsylvania,US,1301,41.2995,-80.21111111,America/New_York,00PN
00SC,,Flying O Airport,Sumter,South Carolina,US,150,34.00944444,-80.26722222,America/New_York,00SC
00SD,,Homan Field,Gary,South Dakota,US,1590,44.80915833,-96.49889722,America/Chicago,00SD
00TS,,Alpine Range Airport,Everman,Texas,US,670,32.60793889,-97.24232222,America/Chicago,00TS
00TX,,Delva Field,Van,Texas,US,545,32.544452,-95.67313,America/Chicago,00TX
00VA,,Vaughan Airport,Alton,Virginia,US,551,36.576,-78.99916667,America/New_York,00VA
00VI,,Groundhog Mountain Airport,Hillsville,Virginia,US,2680,36.66333333,-80.4995,America/New_York,00VI
00WA,,Howell Airport,Longbranch,Washington,US,150,47.17843056,-122.7718,America/Los_Angeles,00WA
00WI,,Northern Lite Airport,Waupaca,Wisconsin,US,860,44.304285,-89.05011361,America/Chicago,00WI
00WN,,Hawks Run Airport,Asotin,Washington,US,2900,46.25,-117.249,America/Los_Angeles,00WN
00WV,,Lazy J Aerodrome,Beverly,West Virginia,US,2060,38.82888889,-79.86611111,America/New_York,00WV
00XA,,Weeski Ranch Airport,Hempstead,Texas,US,271,30.2240375,-96.01415278,America/Chicago,00XA
01AL,,Ware Island Airport,Clanton,Alabama,US,344,32.94595611,-86.51386833,America/Chicago,01AL
01AN,,Mc Hone Heights Airport,Wasilla,Alaska,US,610,61.64902778,-149.3390278,America/Anchorage,01AN
01CL,,Swansboro Country Airport,Placerville,California,US,2594,38.79990222,-120.7343756,America/Los_Angeles,01CL
01CN,,Coleman Homestead Airport,Talkeetna,Alaska,US,282,62.10698194,-150.1092986,America/Anchorage,01CN
01FA,,Rybolt Ranch Airport,Orlando,Florida,US,55,28.58944361,-81.14423028,America/New_York,01FA
01FL,,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,19,28.78193611,-81.15922778,America/New_York,01FL
01GE,,The Farm Airport,Wrightsville,Georgia,US,375,32.67444444,-82.77111111,America/New_York,01GE
01ID,,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,5268,42.60825111,-112.0324606,America/Boise,01ID
01IS,,William E Koenig Airport,Dow,Illinois,US,670,39.01615833,-90.31816861,America/Chicago,01IS
01LA,,Barham Airport,Oak Ridge,Louisiana,US,90,32.63902694,-91.77373611,America/Chicago,01LA
01LS,,Country Breeze Airport,Slaughter,Louisiana,US,125,30.72263889,-91.07736111,America/Chicago,01LS
01MT,,Crystal Lakes Resort Airport,Fortine,Montana,US,3141,48.78913194,-114.8804364,America/Denver,01MT
01NC,,Topsail Airpark,Holly Ridge,North Carolina,US,65,34.47527778,-77.58138889,America/New_York,01NC
01NH,,Moore Airfield,Canaan,New Hampshire,US,835,43.64451667,-72.08703056,America/New_York,01NH
01NK,,Granville Airport,Granville,New York,US,421,43.42294444,-73.268025,America/New_York,01NK
01NM,,Champion Ranch Airport,Artesia,New Mexico,US,3630,33.00861111,-104.5402778,America/Denver,01NM
